City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Sao Jose da Coroa Grande,92,BR,1551685397,92,-8.9,-35.15,77.75,7.74
Rumonge,44,BI,1551685397,100,-3.97,29.44,76.94,1.36
Gouyave,0,GD,1551685397,97,12.16,-61.73,79.33,19.6
Sirari,64,KE,1551685398,96,-1.25,34.48,72.98,5.84
Ternate,20,PH,1551685385,52,14.29,120.72,91.4,11.41
Katherine,90,AU,1551682800,36,-14.47,132.26,95.0,9.17
Namatanai,36,PG,1551685400,94,-3.66,152.44,84.14,8.79
Lahij,100,YE,1551685400,74,13.06,44.88,81.22,5.61
Padang,88,ID,1551685401,100,-0.92,100.36,83.33,12.03
Iwaki,75,JP,1551685255,100,37.05,140.89,44.01,13.87
Changde,92,CN,1551685401,97,29.04,111.68,53.68,5.06
Borogontsy,44,RU,1551685401,71,62.67,131.17,-6.31,3.27
Bahia Blanca,12,AR,1551685402,99,-38.72,-62.27,65.24,16.35
Kazachinskoye,44,RU,1551685402,80,57.69,93.28,36.49,5.73
Sinop,0,TR,1551685402,100,42.03,35.15,44.09,0.36
Zalantun,36,CN,1551685403,29,48.0,122.72,43.69,2.71
Coquimbo,40,CL,1551682800,87,-29.95,-71.34,60.8,2.24
Siverek,90,TR,1551684000,100,37.75,39.32,41.0,6.93
Mbanza-Ngungu,80,CD,1551685403,95,-5.25,14.87,75.59,4.09
Altamira,92,BR,1551685404,92,-3.2,-52.21,74.6,3.87
Kodinsk,44,RU,1551685404,70,58.6,99.18,28.93,6.22
Dodge City,1,US,1551684927,77,37.75,-100.02,5.0,8.05
Sibolga,56,ID,1551685336,97,1.74,98.78,74.06,0.85
Ust-Maya,20,RU,1551685405,82,60.42,134.54,-9.37,3.71
Rundu,8,NA,1551685406,34,-17.91,19.77,91.03,7.4
Havre-Saint-Pierre,40,CA,1551682800,65,50.23,-63.6,3.2,10.29
Petit Goave,0,HT,1551684916,76,18.43,-72.87,72.0,2.26
Roald,40,NO,1551685203,86,62.58,6.12,37.4,17.22
Mandalgovi,24,MN,1551685407,75,45.76,106.27,36.53,10.13
Waitati,0,NZ,1551685214,68,-45.75,170.57,66.0,3.0
Winnemucca,75,US,1551684642,86,40.97,-117.74,33.8,2.48
Kyaikkami,0,MM,1551685467,45,16.08,97.57,89.63,9.01
Shahr-e Kord,0,IR,1551682800,62,32.33,50.85,32.0,2.24
Qaqortoq,48,GL,1551682200,54,60.72,-46.03,28.4,0.96
Pioner,0,TM,1551682800,58,38.89,63.79,59.0,9.17
Santa Cruz,90,US,1551685226,87,36.97,-122.03,54.0,2.3
Hope,1,CA,1551682800,36,49.38,-121.43,28.4,16.11
Kaitangata,36,NZ,1551685190,44,-46.28,169.85,69.01,11.01
Pandan,8,PH,1551685471,93,11.72,122.09,81.58,16.4
Saint Lawrence,20,MT,1551685234,87,36.06,14.2,57.99,3.36
Nhulunbuy,90,AU,1551682800,94,-12.18,136.78,77.0,5.82
San Rafael,8,AR,1551685472,89,-34.61,-68.33,53.77,2.75
Surt,68,LY,1551685401,87,31.21,16.59,59.3,13.94
Saint-Pierre,75,FR,1551685325,66,48.95,4.24,51.8,31.09
Panama City,90,US,1551685412,82,30.16,-85.65,57.2,12.75
Mareeba,75,AU,1551685461,74,-16.99,145.42,81.0,8.05
Avera,90,US,1551685241,93,33.19,-82.53,57.2,11.41
Haines Junction,68,CA,1551685474,61,60.75,-137.51,-1.41,2.53
Hirado,40,JP,1551685386,66,33.32,129.49,55.4,12.75
Rawson,88,AR,1551685434,49,-43.3,-65.11,56.83,9.13
Bilibino,76,RU,1551685475,73,68.06,166.44,-3.97,2.53
Naberera,12,TZ,1551685475,79,-4.2,36.93,78.56,4.27
Severnoye,80,RU,1551685476,92,54.09,52.54,24.11,13.33
Yuzhnyy,88,RU,1551685476,96,53.54,39.45,28.93,9.8
Ibra,0,OM,1551685476,49,22.69,58.55,75.5,4.38
Astana,90,KZ,1551682800,92,51.13,71.43,28.4,11.18
Playa Vicente,12,MX,1551684594,73,17.83,-95.81,77.0,7.4
Wahlstedt,75,DE,1551685268,76,53.95,10.21,52.0,17.22
Muravlenko,76,RU,1551685477,88,63.79,74.5,21.23,20.87
Olinda,75,EC,1551684765,94,-2.03,-79.75,77.0,5.82
Tokoroa,20,NZ,1551685324,52,-38.22,175.87,64.0,1.01
Elizabeth City,90,US,1551685464,93,36.3,-76.22,46.0,5.82
Cayenne,68,GF,1551682800,83,4.94,-52.33,77.0,6.93
Belaya Gora,0,RU,1551685479,43,68.54,146.19,-27.6,3.09
Mastic Beach,90,US,1551685473,86,40.77,-72.85,34.0,18.34
Udachnyy,36,RU,1551685480,76,66.42,112.4,12.37,3.2
High Level,1,CA,1551682800,69,58.52,-117.13,-7.61,2.24
Yar-Sale,76,RU,1551685481,91,66.83,70.83,15.79,9.8
Ishimbay,76,RU,1551685481,91,53.45,56.04,20.38,13.56
Xining,80,CN,1551685481,25,36.62,101.77,39.05,8.57
Balabac,8,PH,1551685481,95,7.99,117.06,82.93,11.59
Mardin,90,TR,1551682800,100,37.32,40.72,50.0,2.24
Xinglongshan,20,CN,1551682800,19,43.96,125.47,48.2,4.47
Gerstetten,20,DE,1551685452,46,48.62,10.02,54.0,3.36
Puerto El Triunfo,0,SV,1551685483,100,13.27,-88.55,78.61,5.32
San Quintin,0,PH,1551685483,42,17.54,120.52,81.26,4.5
Salo,76,FI,1551685373,85,60.38,23.13,24.01,8.05
Shingu,75,JP,1551682800,81,33.72,135.99,51.8,11.41
Asyut,0,EG,1551685484,46,27.18,31.19,68.66,4.5
Sendhwa,0,IN,1551685485,40,21.69,75.09,87.38,11.43
Qasigiannguit,88,GL,1551682200,78,68.82,-51.19,14.0,4.7
Litovko,8,RU,1551685485,66,49.24,135.18,25.24,4.38
Oskemen,0,KZ,1551682800,74,49.96,82.61,37.4,4.47
Cururupu,92,BR,1551685546,99,-1.82,-44.87,75.91,3.53
Viedma,0,AR,1551685399,60,-40.81,-62.99,56.56,10.54
Tazmalt,0,DZ,1551682800,62,36.39,4.4,53.6,18.34
Fortaleza,75,BR,1551685497,88,-3.73,-38.52,77.0,3.36
Katsuura,75,JP,1551684284,81,33.93,134.5,51.8,17.22
Anyama,20,CI,1551682800,83,5.5,-4.06,82.4,5.82
Salinas,90,US,1551685289,87,36.67,-121.66,54.0,5.82
Shaunavon,0,CA,1551685548,76,49.65,-108.41,-9.33,14.12
Gravelbourg,0,CA,1551685548,66,49.88,-106.56,-6.0,14.27
Eusebio,75,BR,1551685497,88,-3.89,-38.45,77.0,3.36
Vocklabruck,0,AT,1551685532,56,48.02,13.65,53.01,17.22
Groningen,40,NL,1551685264,87,53.22,6.57,48.0,19.46
Iwanai,8,JP,1551685549,100,42.97,140.51,33.97,10.58
Garden City,90,US,1551685548,86,40.73,-73.63,34.0,9.08
Nishihara,90,JP,1551685501,87,35.74,139.53,51.01,11.41
Puerto Quijarro,8,BO,1551685551,92,-19.0,-57.72,73.7,3.38
Linjiang,36,CN,1551685551,77,41.81,126.91,37.48,2.75
Kijang,0,KR,1551682800,38,35.24,129.21,59.0,11.41
Caceres,92,CO,1551685552,100,5.53,-74.53,64.25,2.04
Plattsburgh,90,US,1551685531,100,44.69,-73.46,28.0,5.82
Port Blair,20,IN,1551682800,55,11.67,92.75,87.8,5.82
Noumea,0,NC,1551682800,58,-22.28,166.46,86.0,9.17
Lagunas,32,PE,1551685553,93,-5.23,-75.68,74.92,1.52
Sungaipenuh,80,ID,1551685553,83,-2.08,101.38,73.61,1.81
Kangaatsiaq,80,GL,1551685554,100,68.31,-53.46,17.68,2.48
Totness,90,US,1551685548,100,33.74,-80.8,62.6,10.25
Benghazi,88,LY,1551685554,100,32.12,20.07,59.48,8.01
Lang Suan,40,TH,1551682800,56,9.95,99.07,93.2,6.93
Vanavara,36,RU,1551685555,69,60.35,102.28,24.74,7.63
Shimanovsk,0,RU,1551685555,48,52.0,127.67,21.14,4.76
Nosy Varika,68,MG,1551685555,77,-20.58,48.53,87.38,6.62
Miles City,1,US,1551685450,75,46.41,-105.84,-13.01,9.17
Caravelas,48,BR,1551685556,100,-17.73,-39.27,83.83,12.44
Ahipara,36,NZ,1551685556,98,-35.17,173.16,61.87,6.73
Kaufungen,68,DE,1551685520,58,50.89,12.69,55.99,12.75
Kosa,48,RU,1551685557,84,59.94,54.99,10.21,6.29
Byron Bay,40,AU,1551685246,73,-28.65,153.62,80.6,10.29
Manbij,90,SY,1551684000,93,36.53,37.96,45.0,4.27
Sobolevo,88,RU,1551685558,92,54.43,31.9,38.56,14.94
Paamiut,68,GL,1551685558,100,61.99,-49.67,25.78,8.12
Zhuhai,20,CN,1551682800,23,40.71,112.04,51.8,6.71
Statesboro,90,US,1551684240,93,32.45,-81.78,66.2,4.7
Francisco Beltrao,0,BR,1551685559,84,-26.08,-53.05,69.56,7.23
Tondano,20,ID,1551684600,46,1.3,124.91,89.6,8.05
Vondrozo,0,MG,1551685559,76,-22.82,47.32,86.08,5.28
Purpe,64,RU,1551685352,82,64.48,76.69,32.0,18.86
Kimbe,80,PG,1551685560,100,-5.56,150.15,80.18,4.05
La Ronge,90,CA,1551682800,60,55.1,-105.3,6.8,19.46
Ambon,76,FR,1551685546,87,47.55,-2.56,48.2,18.34
Padilla,75,CO,1551682800,88,3.23,-76.31,69.8,2.24
Cuiluan,88,CN,1551685561,38,47.72,128.65,39.28,3.87
Portland,1,US,1551685108,36,45.52,-122.67,30.2,20.8
Ilebo,64,CD,1551685562,96,-4.33,20.59,73.12,3.04
Gidole,88,ET,1551685562,31,5.65,37.37,84.19,3.31
Lynn Haven,90,US,1551685585,82,30.25,-85.65,57.2,12.75
Tokmak,48,UA,1551685623,60,47.26,35.7,42.79,20.15
Pahalgam,68,IN,1551685623,82,34.03,75.33,17.32,1.74
Hami,24,CN,1551685469,40,42.84,93.51,55.66,5.06
Ixtapa,5,MX,1551685539,100,20.71,-105.21,69.01,3.36
Ravar,0,IR,1551685624,27,31.27,56.81,64.84,6.4
Nabire,92,ID,1551685624,99,-3.36,135.5,71.14,1.3
Qinzhou,88,CN,1551685624,100,21.96,108.62,70.69,13.82
